410,Middelfart,555844.225 ,6144858.010 ,17,17,21 ,67,49,68,2,1,6,6,6,10,27,25,34
480,Nordfyns,580228.620 ,6153966.470 ,6,12,6 ,62,50,39,4,0,0,5,4,1,22,22,14
450,Nyborg,607606.200 ,6129368.490 ,11,8,10 ,45,66,49,4,5,0,15,8,10,39,37,26
461,Odense,587268.350 ,6138456.575 ,327,324,279 ,445,296,418,32,30,35,63,62,92,194,240,242
479,Svendborg,603383.580 ,6105248.445 ,33,33,42 ,110,67,76,5,1,9,9,14,9,51,47,39
492,Ærø,587902.055 ,6083780.295 ,4,0,2 ,0,2,1,0,0,0,1,0,0,6,2,4
530,Billund,498329.690 ,6177665.115 ,9,20,13 ,73,62,69,1,0,2,16,23,23,17,8,9
561,Esbjerg,475755.790 ,6139340.290 ,107,121,88 ,284,163,176,10,11,13,47,53,31,135,129,149
563,Fanø,463277.620 ,6139892.330 ,1,0,0 ,0,0,0,0,0,1,0,0,3,2,0,5
607,Fredericia,544699.605 ,6158339.375 ,46,47,37 ,104,70,96,8,3,6,27,16,16,49,46,48
510,Haderslev,521093.005 ,6123129.330 ,27,29,31 ,83,75,87,6,3,2,21,15,15,35,61,33
621,Kolding,528714.845 ,6147108.795 ,115,72,70 ,159,145,183,6,5,7,17,18,7,56,73,71
540,Sønderborg,549197.710 ,6090565.620 ,42,45,46 ,168,108,84,6,0,1,28,14,18,47,47,45
550,Tønder,490721.835 ,6101832.430 ,7,18,13 ,101,39,52,3,2,1,3,4,9,37,19,35
573,Varde,468093.550 ,6167946.710 ,20,12,24 ,86,63,91,1,3,2,9,10,7,26,23,37
575,Vejen,502084.045 ,6145841.205 ,19,11,17 ,69,58,81,2,1,0,12,10,9,39,37,25
630,Vejle,525266.685 ,6179608.635 ,116,88,64 ,352,216,202,11,13,14,27,24,19,85,85,87
580,Aabenraa,520358.605 ,6093072.765 ,35,36,35 ,141,99,80,4,5,2,29,30,26,60,60,64
710,Favrskov,558779.275 ,6241922.995 ,11,3,5 ,144,64,114,4,1,0,5,4,7,22,9,27
766,Hedensted,546543.660 ,6183706.640 ,10,2,16 ,141,97,92,1,0,0,4,0,1,19,17,13
615,Horsens,556123.995 ,6196015.030 ,73,84,98 ,152,100,90,5,15,7,38,28,26,85,76,51
707,Norddjurs,619522.285 ,6266024.815 ,24,24,12 ,71,57,46,4,1,5,7,13,5,35,25,31
727,Odder,577321.330 ,6199124.420 ,7,8,6 ,42,22,42,2,0,1,3,1,0,9,5,10
730,Randers,565710.625 ,6266854.990 ,70,114,88 ,217,116,154,4,3,5,25,29,29,81,94,103
741,Samsø,603458.990 ,6194162.215 ,0,0,1 ,1,1,4,0,0,0,0,1,0,0,2,4
740,Silkeborg,533616.460 ,6226401.050 ,64,56,53 ,179,96,160,7,1,3,20,20,29,57,59,55
746,Skanderborg,553711.175 ,6215925.710 ,18,12,18 ,112,52,108,3,3,3,13,8,4,18,14,16
706,Syddjurs,592996.940 ,6237346.525 ,15,13,9 ,77,85,72,1,0,1,12,7,7,24,18,33
751,Aarhus,572473.015 ,6224816.775 ,401,398,425 ,729,416,722,57,47,61,71,70,62,293,310,315
657,Herning,488299.215 ,6222420.975 ,29,48,60 ,171,101,102,2,5,4,11,24,24,48,47,52
661,Holstebro,472694.265 ,6250333.690 ,66,45,31 ,86,57,87,2,6,1,19,15,12,53,57,44
756,Ikast-Brande,516158.545 ,6212032.125 ,18,22,12 ,85,78,145,1,0,1,3,18,16,17,36,20
665,Lemvig,458102.965 ,6265166.895 ,2,1,3 ,21,12,21,1,0,1,1,0,7,10,19,12
760,Ringkøbing-Skjern,467622.845 ,6208347.815 ,17,16,28 ,69,82,75,2,0,0,5,12,18,18,33,25
779,Skive,499043.725 ,6280430.255 ,26,13,34 ,54,38,48,1,3,2,6,17,12,28,26,24
671,Struer,472404.790 ,6266269.115 ,6,9,4 ,34,24,24,2,0,1,7,5,2,20,13,12
791,Viborg,523600.035 ,6256328.980 ,63,49,51 ,144,98,113,4,2,8,20,17,31,38,59,37
810,Brønderslev,565902.060 ,6340955.035 ,8,11,16 ,57,35,40,2,2,0,2,2,10,12,39,23
813,Frederikshavn,584732.285 ,6369655.275 ,42,27,29 ,78,43,53,6,3,5,14,14,22,39,37,35
860,Hjørring,563169.480 ,6369365.185 ,60,55,25 ,58,53,53,3,2,4,20,19,15,67,59,43
849,Jammerbugt,528711.040 ,6337725.455 ,6,11,8 ,46,39,31,1,1,0,7,5,18,18,27,25
825,Læsø,622088.495 ,6348577.160 ,0,0,2 ,0,0,0,0,0,0,0,1,0,1,1,1
846,Mariagerfjord,556989.290 ,6285106.600 ,25,22,10 ,65,37,48,4,0,3,7,4,17,25,27,21
773,Morsø,485090.060 ,6298118.510 ,6,10,13 ,21,13,11,1,0,0,2,4,5,14,15,13
840,Rebild,553359.440 ,6296610.430 ,5,2,2 ,26,29,47,3,0,1,1,7,6,8,11,8
787,Thisted,479027.065 ,6307949.585 ,17,21,27 ,51,41,53,1,2,1,10,4,15,32,31,25
820,Vesthimmerlands,524913.335 ,6298943.910 ,18,12,6 ,44,20,103,0,3,3,8,4,16,41,25,28
851,Aalborg,553943.185 ,6320206.005 ,226,206,175 ,483,245,305,20,8,25,51,63,95,162,149,148
